"Tarih","Saat","Tüketim Miktarý (MWh)"
"27.12.2020","00:00","32.313,91"
"27.12.2020","01:00","30.629,82"
"27.12.2020","02:00","29.220,21"
"27.12.2020","03:00","28.272,21"
"27.12.2020","04:00","28.002,12"
"27.12.2020","05:00","27.834,94"
"27.12.2020","06:00","27.935,13"
"27.12.2020","07:00","27.966,99"
"27.12.2020","08:00","27.152,41"
"27.12.2020","09:00","27.135,03"
"27.12.2020","10:00","27.920,73"
"27.12.2020","11:00","28.495,46"
"27.12.2020","12:00","28.333,87"
"27.12.2020","13:00","29.008,49"
"27.12.2020","14:00","26.625,02"
